Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
0.761734 -0.0440526 0.0834149 0.640986	0.702665 -0.0682311 0.0556813 0.70605	0.681452 -0.0708793 0.0488733 0.726781	0.68388 -0.021635 -0.00136638 0.729272	0.686717 -0.0124002 -0.0186854 0.726579	0.699375 -0.0195592 -0.0420611 0.713248	0.768568 -0.0063305 -0.11696 0.628954	0.715248 0.166543 0.33835 0.58839	0.886419 -0.0702459 0.071906 0.451837	0.888503 0.035158 0.0179244 0.457171	0.825659 0.171745 0.295448 0.448889	0.674396 -0.301537 -0.279113 0.613483	0.916682 0.0207054 -0.0699137 0.392909	0.916706 -0.019637 -0.052563 0.395604	0.863116 -0.104304 -0.268292 0.414934	0.733406 -0.00643243 -0.00916871 0.679699	0.610066 -0.00481689 -0.0101113 0.792272	0.68132 0.0182504 0.0782153 0.727566	0.726695 -0.00707037 -0.046299 0.685361	0.589912 0.00146896 -0.0468128 0.806108	0.727069 0.0889098 -0.0479898 0.67909	
0.769607 -0.0538731 0.0746942 0.631841	0.708277 -0.0666083 0.0580644 0.700383	0.684968 -0.0701808 0.0511941 0.723375	0.68456 -0.0259173 -0.00160107 0.728494	0.686688 -0.0174607 -0.0195903 0.726479	0.702927 -0.0226224 -0.0435181 0.709569	0.770821 -0.00656389 -0.116552 0.626264	0.71947 0.158104 0.337282 0.58618	0.889459 -0.0724662 0.0724841 0.445373	0.891679 0.0360251 0.0178924 0.450878	0.824089 0.174874 0.303861 0.444933	0.682465 -0.298757 -0.278088 0.606344	0.920603 0.0232627 -0.0706911 0.383343	0.92072 -0.0180163 -0.053441 0.386126	0.861476 -0.104787 -0.280102 0.410393	0.728382 -0.00988549 0.00302998 0.685093	0.60925 -0.0102431 0.00140753 0.792911	0.681197 0.0146849 0.0755311 0.728045	0.713961 -0.0222173 -0.017449 0.699615	0.595849 -0.0192172 -0.0207068 0.8026	0.715858 0.0623543 -0.0479163 0.693804	
0.768075 -0.0531355 0.0706152 0.634232	0.708389 -0.0634433 0.0567281 0.700673	0.685096 -0.0664585 0.0506362 0.723646	0.684416 -0.0260944 -0.00118338 0.728624	0.686403 -0.0187777 -0.0194909 0.726718	0.70445 -0.027 -0.0449447 0.707814	0.777617 -0.00823275 -0.117753 0.617559	0.722613 0.153058 0.33583 0.584484	0.892417 -0.0754749 0.073742 0.4387	0.89484 0.0369642 0.0181797 0.444483	0.823155 0.175349 0.309546 0.442549	0.685063 -0.297879 -0.276917 0.604378	0.92203 0.0255057 -0.0726832 0.379377	0.922244 -0.0160078 -0.0555392 0.382263	0.861534 -0.103485 -0.287313 0.405588	0.729693 -0.00873587 0.00605071 0.683693	0.606775 -0.00961509 0.00452506 0.794803	0.680191 0.0144789 0.074734 0.729072	0.718223 -0.0374954 0.00708299 0.694766	0.590074 -0.0381533 0.000625322 0.806447	0.710058 0.0698693 -0.0508449 0.698821	
0.765255 -0.0513439 0.0593527 0.638925	0.70696 -0.0584446 0.0496904 0.703081	0.684845 -0.0590052 0.0454634 0.724872	0.682493 -0.0208302 -0.000280463 0.730595	0.684844 -0.0153948 -0.0182956 0.728297	0.708915 -0.0326957 -0.0462798 0.703014	0.780506 -0.0121219 -0.120054 0.613392	0.720675 0.149758 0.334101 0.588708	0.89384 -0.083212 0.07559 0.434064	0.897054 0.0341771 0.0182828 0.440217	0.830986 0.173641 0.309373 0.428485	0.678294 -0.295985 -0.27818 0.612312	0.919483 0.0300737 -0.0746328 0.384806	0.91993 -0.00909017 -0.0581864 0.387634	0.861665 -0.100527 -0.291983 0.402708	0.730063 -0.00329969 0.00284501 0.683366	0.605829 -0.00372805 0.00225466 0.795583	0.678724 0.0142241 0.0734805 0.73057	0.719982 -0.027714 -0.00102585 0.693438	0.597006 -0.027174 -0.00554026 0.801758	0.69892 0.0627756 -0.0559731 0.710238	
0.76462 -0.0454923 0.0488025 0.641019	0.706784 -0.0519906 0.0412107 0.704312	0.684949 -0.0507635 0.0384032 0.725805	0.681849 -0.0143249 -0.00193544 0.73135	0.684836 -0.00963792 -0.0193052 0.728378	0.712402 -0.0355639 -0.0479203 0.69923	0.782699 -0.0155529 -0.12165 0.610199	0.718667 0.150801 0.333262 0.591365	0.892814 -0.0901546 0.0764479 0.43464	0.896963 0.0264769 0.019394 0.440885	0.839003 0.166793 0.303672 0.419568	0.672966 -0.295495 -0.279092 0.617986	0.916512 0.0333124 -0.0760029 0.391305	0.917116 -0.00112311 -0.061257 0.393883	0.861937 -0.0962308 -0.288233 0.405865	0.725971 0.000618172 -0.000258824 0.687725	0.607961 0.000651369 -0.000157718 0.793966	0.677294 0.015435 0.0748539 0.731732	0.71948 -0.0110837 -0.0214386 0.694094	0.601257 -0.00757103 -0.0229159 0.798691	0.694229 0.0702216 -0.0540062 0.714282	
0.764376 -0.041404 0.0441665 0.641922	0.707134 -0.0486392 0.0361359 0.704478	0.685495 -0.0473159 0.0334249 0.725769	0.683059 -0.0108539 -0.004996 0.730266	0.68633 -0.00580498 -0.0217125 0.726943	0.713358 -0.0357035 -0.0498239 0.698114	0.786133 -0.0168124 -0.121653 0.605734	0.71821 0.151859 0.333165 0.591704	0.89072 -0.0933634 0.0754042 0.438425	0.895448 0.0164839 0.0211139 0.44436	0.835972 0.155031 0.298668 0.433489	0.671633 -0.294913 -0.279833 0.619378	0.914795 0.035387 -0.0768782 0.394953	0.915468 0.0044514 -0.0634869 0.397325	0.857436 -0.0874001 -0.281189 0.422016	0.719501 0.00392694 -0.00251526 0.694475	0.612628 0.00424669 -0.00192695 0.790358	0.676485 0.0181485 0.0779913 0.73209	0.713172 0.00472468 -0.0394603 0.699861	0.607469 0.0102365 -0.0384012 0.793349	0.694252 0.070571 -0.052601 0.71433	
0.763303 -0.0423663 0.0433899 0.643188	0.707318 -0.0500754 0.0343466 0.704283	0.686391 -0.0495766 0.0309828 0.724879	0.685528 -0.0111288 -0.00817482 0.727916	0.688632 -0.00499078 -0.0242364 0.724688	0.712938 -0.0340674 -0.0511547 0.698528	0.788705 -0.0166111 -0.120665 0.602585	0.720277 0.151326 0.332971 0.589433	0.887997 -0.0942766 0.0726691 0.444176	0.892961 0.00695037 0.0218711 0.449549	0.824301 0.142988 0.298524 0.45931	0.673865 -0.294039 -0.279025 0.617731	0.914655 0.0374891 -0.0774959 0.394963	0.915388 0.00791763 -0.0646945 0.397261	0.854805 -0.0771028 -0.278605 0.430979	0.71305 0.00658032 -0.00216087 0.701079	0.617804 0.0068022 -0.0013039 0.786302	0.676821 0.0180723 0.077505 0.731833	0.702118 0.018952 -0.053335 0.709807	0.616787 0.024898 -0.0508319 0.785093	0.695168 0.0723063 -0.0513639 0.713355	
0.761465 -0.0447916 0.0456326 0.645044	0.706633 -0.052961 0.0349379 0.70473	0.687 -0.0537591 0.030358 0.72403	0.688025 -0.0133295 -0.00996488 0.725496	0.691184 -0.00602524 -0.0255893 0.7222	0.713955 -0.0326178 -0.0506364 0.697597	0.789821 -0.0163148 -0.120231 0.601217	0.723203 0.149782 0.333096 0.586166	0.886657 -0.0949561 0.070224 0.447091	0.891727 -0.000128431 0.022281 0.452024	0.81586 0.133875 0.301123 0.475157	0.677201 -0.291597 -0.279538 0.615003	0.917183 0.0396703 -0.0781032 0.388717	0.917987 0.00993687 -0.0654695 0.391043	0.859743 -0.0741719 -0.281454 0.419671	0.707965 0.00606159 0.00172915 0.706219	0.62209 0.00582265 0.00241448 0.78292	0.675857 0.0180707 0.0775765 0.732716	0.691292 0.0173572 -0.0473994 0.72081	0.625718 0.0214294 -0.0457029 0.778415	0.695851 0.0703405 -0.0510254 0.712909	
0.758981 -0.0462298 0.0487007 0.647641	0.705874 -0.0553414 0.0364922 0.705228	0.687947 -0.0571568 0.0309203 0.722846	0.689871 -0.0157881 -0.0110045 0.723676	0.693326 -0.00795214 -0.026626 0.720088	0.71642 -0.0306916 -0.0499848 0.695199	0.790245 -0.0160538 -0.119569 0.600798	0.72492 0.148164 0.332364 0.58487	0.889086 -0.0964237 0.0696289 0.442019	0.89429 -0.00394672 0.0235365 0.44685	0.819387 0.129066 0.303552 0.468832	0.679829 -0.288664 -0.281871 0.612417	0.921722 0.0423581 -0.0789607 0.377359	0.922634 0.0105788 -0.0659135 0.379855	0.865467 -0.0734983 -0.285232 0.405225	0.703338 0.00271909 0.00861754 0.710798	0.626033 0.00181304 0.0088526 0.779744	0.674511 0.0171542 0.0767605 0.734063	0.682225 0.00509374 -0.0290692 0.730547	0.633274 0.00697332 -0.0286764 0.773365	0.695938 0.0680063 -0.0517615 0.712998	
0.756491 -0.0466967 0.0505631 0.650373	0.705552 -0.0565827 0.0379622 0.705375	0.688789 -0.0585602 0.0321932 0.721876	0.690978 -0.0175531 -0.0114552 0.722572	0.694803 -0.00994165 -0.0276787 0.718599	0.719408 -0.029485 -0.050671 0.69211	0.790716 -0.0152556 -0.119681 0.600176	0.726099 0.146527 0.330538 0.584854	0.894464 -0.0982357 0.070793 0.430432	0.899832 -0.00439694 0.0255079 0.435468	0.829653 0.127158 0.305641 0.449544	0.681532 -0.286594 -0.285104 0.609995	0.92508 0.0452132 -0.0802396 0.368434	0.926123 0.0107038 -0.0664523 0.371169	0.870771 -0.0755266 -0.286494 0.392396	0.699122 -0.00238854 0.0172626 0.71479	0.629431 -0.00398764 0.0169647 0.776861	0.673444 0.0155717 0.0754682 0.735211	0.675151 -0.0078367 -0.0109728 0.737556	0.63873 -0.00729743 -0.0113386 0.769312	0.695488 0.0667837 -0.0522949 0.713514	
