Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
-2.091 30.7718 6.6138	-1.68576 32.1464 9.1253	-1.26401 35.0524 10.4166	-0.832761 38.0737 11.405	-1.21263 41.246 11.6936	-2.91655 49.5223 10.7156	-2.2118 53.8759 10.6432	-1.38308 47.1836 10.0073	1.89371 51.3813 9.5628	12.4993 51.1236 7.47245	20.1842 51.3545 5.45256	-3.49075 46.7615 10.1068	-6.52825 50.8787 8.56479	-17.1517 49.717 10.2099	-25.0921 50.0936 10.2296	0.889661 29.4486 5.96375	2.30869 14.853 2.67191	4.33869 1.3499 7.20552	-5.39637 30.4621 6.42334	-4.58886 15.6605 3.94527	-3.71125 1.96317 8.26059	
-2.0358 30.8806 6.4648	-1.64983 32.2125 9.00219	-1.13745 35.0831 10.3393	-0.622373 38.0738 11.3792	-1.00977 41.2436 11.6835	-2.81254 49.5024 10.735	-2.07198 53.8506 10.7101	-1.258 47.1825 10.0111	2.08962 51.3276 9.60235	12.6725 51.0037 7.40888	20.3378 51.2104 5.31326	-3.3601 46.7366 10.1241	-6.43795 50.8569 8.67308	-17.0426 49.5816 10.3546	-24.9812 49.9944 10.3433	0.969325 29.6335 5.77816	2.15731 14.8653 3.25414	4.25828 1.25494 7.41996	-5.3347 30.5058 6.27921	-4.63675 15.6694 3.98208	-3.7556 1.96756 8.28236	
-1.93501 30.8902 6.4119	-1.57465 32.224 8.95205	-1.06438 35.0909 10.298	-0.537895 38.0773 11.3444	-0.906984 41.2481 11.6617	-2.63701 49.5285 10.7681	-1.9781 53.8897 10.7302	-1.10229 47.2001 10.0295	2.28159 51.3187 9.65291	12.8379 50.8884 7.35238	20.4798 51.0516 5.16902	-3.20828 46.7718 10.1382	-6.33618 50.8903 8.79274	-16.9151 49.4418 10.4965	-24.8529 49.8648 10.4432	1.07844 29.6479 5.75352	1.84722 14.9004 2.96034	4.22326 1.45222 7.48913	-5.23141 30.5096 6.19621	-4.63302 15.6703 3.89018	-3.76399 1.99357 8.27223	
-1.8913 31.0597 6.4099	-1.63312 32.4149 8.95118	-1.17426 35.2809 10.3173	-0.666864 38.2636 11.3834	-0.971874 41.442 11.6921	-2.47819 49.7632 10.7725	-1.84601 54.1286 10.7653	-0.991449 47.3966 10.0576	2.4668 51.4505 9.65525	12.9987 50.7925 7.29738	20.6174 50.8574 5.02949	-3.10901 47.0217 10.1335	-6.30751 51.1024 8.8403	-16.8271 49.3479 10.6216	-24.7691 49.6832 10.5544	1.16742 29.8848 5.84287	1.99105 15.1041 3.24799	4.36519 1.44041 7.07898	-5.17066 30.6009 6.10491	-4.56395 15.7387 3.95343	-3.76612 2.03135 8.25229	
-1.8937 31.2314 6.3701	-1.71439 32.5941 8.91412	-1.31275 35.4545 10.3097	-0.835112 38.4299 11.4097	-1.07606 41.613 11.726	-2.33999 49.9738 10.8004	-1.70253 54.3384 10.8166	-0.905863 47.569 10.1056	2.61069 51.5698 9.67717	13.1159 50.7137 7.26425	20.715 50.6659 4.9312	-3.03382 47.2516 10.1441	-6.26548 51.3026 8.83984	-16.7414 49.3528 10.6748	-24.6891 49.5122 10.6956	1.18774 30.0777 5.88905	2.19702 15.3038 3.32115	4.38382 1.58084 7.05044	-5.16015 30.7479 5.97749	-4.46077 15.8426 4.18121	-3.74325 2.05879 8.24324	
-1.8809 31.3742 6.3176	-1.74851 32.7491 8.85796	-1.38733 35.6003 10.283	-0.935563 38.5663 11.4185	-1.14329 41.7503 11.7501	-2.25655 50.1334 10.8327	-1.59187 54.4937 10.8694	-0.850294 47.7079 10.1531	2.72867 51.6552 9.74659	13.2042 50.6587 7.25988	20.7818 50.492 4.8633	-2.98344 47.4249 10.1558	-6.22185 51.4587 8.81528	-16.6778 49.4288 10.6773	-24.6255 49.3877 10.829	1.20672 30.2113 5.90293	2.47377 15.4303 3.49515	4.43381 1.62738 7.05144	-5.14011 30.896 5.86315	-4.35921 15.9488 4.50185	-3.7212 2.07265 8.25081	
-1.82911 31.4795 6.2805	-1.72593 32.8849 8.80548	-1.37553 35.729 10.2474	-0.929173 38.6865 11.4068	-1.13126 41.8687 11.7582	-2.20764 50.26 10.8717	-1.5046 54.6141 10.9266	-0.801601 47.8335 10.1953	2.84222 51.7263 9.84369	13.285 50.6201 7.267	20.8374 50.33 4.80367	-2.93554 47.5573 10.1728	-6.16165 51.5977 8.82256	-16.6174 49.5589 10.6755	-24.5588 49.3186 10.9377	1.25931 30.3001 5.92224	2.68393 15.4959 3.75727	4.45662 1.61075 7.08439	-5.08367 31.0079 5.78745	-4.29212 16.0302 4.82758	-3.71381 2.07026 8.26203	
-1.74821 31.5643 6.2481	-1.6527 32.9967 8.75813	-1.29168 35.8362 10.2066	-0.840194 38.7879 11.379	-1.05989 41.9669 11.7481	-2.17465 50.3573 10.9025	-1.43479 54.7051 10.9729	-0.750683 47.9423 10.2224	2.94698 51.7883 9.92115	13.3591 50.5712 7.27174	20.887 50.1722 4.74904	-2.88288 47.655 10.1825	-6.09636 51.7111 8.84952	-16.5622 49.7012 10.677	-24.4921 49.2791 11.0389	1.33899 30.3741 5.91605	2.85321 15.5293 4.12141	4.46028 1.54881 7.11676	-5.0017 31.0948 5.74605	-4.26228 16.0967 5.12014	-3.722 2.06712 8.26474	
-1.64782 31.63 6.19671	-1.53598 33.0817 8.69498	-1.15699 35.919 10.143	-0.700341 38.8684 11.3191	-0.948072 42.0433 11.7061	-2.13241 50.4295 10.9155	-1.37034 54.773 11.0125	-0.688786 48.0308 10.2193	3.0444 51.8451 9.95381	13.4346 50.4959 7.28227	20.9379 50.0324 4.69805	-2.81856 47.7262 10.1782	-6.03259 51.7911 8.87347	-16.5112 49.8235 10.6737	-24.4266 49.261 11.1455	1.43678 30.4359 5.85446	2.97354 15.5495 4.47082	4.45333 1.48947 7.14191	-4.90458 31.1581 5.71873	-4.25775 16.1472 5.34844	-3.73194 2.07079 8.27887	
-1.55662 31.6831 6.14331	-1.40971 33.1413 8.63598	-1.01145 35.9803 10.0755	-0.550082 38.9311 11.2463	-0.822645 42.1019 11.6488	-2.08316 50.4813 10.9038	-1.30863 54.8216 11.0367	-0.623271 48.0982 10.188	3.13434 51.8918 9.97662	13.5076 50.4087 7.31032	20.988 49.9355 4.66239	-2.75057 47.7755 10.1581	-5.96702 51.8471 8.88065	-16.4508 49.9096 10.6836	-24.3555 49.2829 11.244	1.5216 30.484 5.76333	3.05686 15.5669 4.76151	4.44259 1.44658 7.15033	-4.82005 31.2143 5.70988	-4.261 16.1961 5.55311	-3.74116 2.07911 8.28241	
