Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
-1.4025 31.6433 6.5108	-1.52526 33.7504 8.33117	-1.64688 36.7673 8.99859	-1.74712 39.8337 9.38365	-1.8558 42.9207 9.52631	-1.90651 51.0877 8.80013	-1.73697 55.2674 8.03949	-0.754335 48.6448 8.21319	4.27845 49.7007 8.75624	13.3604 51.0744 7.35024	21.0859 51.9867 6.80332	-2.8236 48.6115 7.98332	-7.78674 49.7641 7.10158	-16.8014 50.2273 9.3078	-24.5641 50.9473 9.4989	1.67167 30.7038 6.65602	3.3614 16.605 1.80966	5.61153 3.43769 7.15439	-4.48334 30.7925 6.13832	-4.43205 15.7886 6.1191	-4.49665 1.66197 8.84701	
-1.3091 31.5466 6.4057	-1.3685 33.6601 8.22182	-1.45529 36.6736 8.90939	-1.5284 39.7377 9.31896	-1.6446 42.8233 9.4841	-1.74682 50.994 8.80668	-1.62393 55.1786 8.06459	-0.588739 48.5607 8.19197	4.44733 49.6188 8.6991	13.513 51.0637 7.25976	21.2391 51.9986 6.76184	-2.66035 48.5178 7.98605	-7.63292 49.6657 7.15277	-16.6333 50.1263 9.41674	-24.3952 50.8569 9.6063	1.74525 30.541 6.52362	3.4059 16.0497 3.00754	5.58701 2.67147 7.83182	-4.41113 30.762 6.06513	-4.42382 15.7583 5.9831	-4.51069 1.65925 8.84995	
-1.21521 31.4686 6.3219	-1.22775 33.5888 8.1311	-1.27297 36.5997 8.83418	-1.31154 39.6617 9.2634	-1.42791 42.7463 9.44573	-1.56827 50.9194 8.80518	-1.49479 55.1089 8.08403	-0.409022 48.4931 8.16562	4.63428 49.535 8.63288	13.6814 51.0541 7.15399	21.4082 52.0079 6.70396	-2.48285 48.4434 7.98513	-7.46802 49.5742 7.20536	-16.4518 50.0213 9.53701	-24.2128 50.7628 9.71818	1.82399 30.4161 6.41984	3.43371 15.6989 3.98421	5.48055 2.12935 8.30702	-4.33157 30.7312 6.00788	-4.41459 15.7285 5.8268	-4.52492 1.66371 8.85616	
-1.11151 31.4333 6.25881	-1.11305 33.5569 8.06406	-1.12536 36.5653 8.77884	-1.13389 39.6256 9.22168	-1.23663 42.7101 9.41331	-1.37566 50.885 8.79602	-1.34755 55.0792 8.09908	-0.224673 48.4595 8.13907	4.82758 49.472 8.573	13.8578 51.0432 7.04581	21.5857 52.0005 6.62417	-2.30015 48.412 7.97799	-7.30255 49.5047 7.2563	-16.2676 49.9109 9.66625	-24.0292 50.65 9.82909	1.92472 30.3717 6.35106	3.47112 15.5309 4.77711	5.38047 1.75705 8.47092	-4.23088 30.7048 5.95401	-4.38591 15.7041 5.68141	-4.53122 1.67269 8.86062	
-0.987812 31.4659 6.22251	-1.02688 33.5881 8.029	-1.02849 36.5952 8.74923	-1.02262 39.6549 9.19657	-1.09531 42.7402 9.3893	-1.17759 50.9166 8.78219	-1.18711 55.1148 8.10919	-0.0461699 48.4837 8.11866	5.01557 49.4565 8.53225	14.0366 51.0336 6.9574	21.7661 51.9715 6.52238	-2.12244 48.4513 7.9642	-7.14769 49.474 7.30102	-16.0914 49.807 9.79996	-23.856 50.5177 9.94493	2.06175 30.4447 6.32975	3.53732 15.5411 5.42274	5.37197 1.60916 8.51218	-4.09561 30.6961 5.90122	-4.3285 15.6977 5.56956	-4.52888 1.69196 8.85721	
-0.828618 31.545 6.2136	-0.939538 33.6662 8.01827	-0.956312 36.6728 8.74052	-0.95532 39.7324 9.18808	-0.99354 42.8185 9.37782	-0.990052 50.9956 8.77325	-1.0242 55.1982 8.12936	0.119218 48.5514 8.11347	5.18634 49.5011 8.51494	14.2077 51.0304 6.896	21.9374 51.9316 6.39107	-1.95663 48.5403 7.95055	-7.00183 49.4941 7.33827	-15.9232 49.7159 9.9277	-23.6932 50.3669 10.0652	2.2421 30.5945 6.36003	3.6203 15.663 5.83915	5.39424 1.63055 8.47553	-3.91351 30.7036 5.85342	-4.22808 15.7072 5.49563	-4.51011 1.71751 8.84478	
-0.692918 31.6455 6.2467	-0.880478 33.7735 8.03696	-0.928826 36.7806 8.75564	-0.944215 39.8406 9.20076	-0.944427 42.9273 9.3844	-0.827209 51.1025 8.76722	-0.872234 55.3081 8.14392	0.257737 48.6431 8.1243	5.32629 49.5831 8.53028	14.3579 51.0132 6.87814	22.0858 51.864 6.26861	-1.81603 48.6586 7.93705	-6.87194 49.5779 7.36129	-15.7725 49.6791 10.0285	-23.5485 50.2446 10.2024	2.39618 30.7669 6.44586	3.7067 15.8255 6.04894	5.46721 1.74528 8.42721	-3.75172 30.7312 5.8441	-4.13768 15.7365 5.48865	-4.49028 1.74798 8.83622	
-0.581118 31.7358 6.3005	-0.82551 33.8793 8.06528	-0.909183 36.8879 8.77448	-0.946778 39.9488 9.21147	-0.919513 43.0356 9.39082	-0.704828 51.2085 8.76838	-0.721847 55.4153 8.15207	0.362181 48.7367 8.14276	5.43063 49.6738 8.55665	14.4773 50.9911 6.89308	22.1988 51.8043 6.16321	-1.70848 48.7746 7.92657	-6.77052 49.6746 7.37468	-15.652 49.669 10.1069	-23.4316 50.1408 10.3728	2.51697 30.9041 6.55399	3.79365 15.9597 6.16072	5.53043 1.85526 8.40948	-3.62024 30.7732 5.86297	-4.06152 15.7792 5.5445	-4.48228 1.77894 8.83466	
-0.481518 31.7945 6.36379	-0.751324 33.9585 8.09962	-0.860173 36.9697 8.79393	-0.91601 40.0325 9.21597	-0.878747 43.1193 9.39344	-0.61559 51.2913 8.77729	-0.595847 55.499 8.16755	0.444253 48.8142 8.16032	5.51285 49.7473 8.58153	14.5741 50.965 6.92142	22.2851 51.7606 6.0707	-1.62408 48.8631 7.92493	-6.68748 49.7563 7.37445	-15.5614 49.6998 10.1306	-23.339 50.0763 10.5568	2.61861 30.9822 6.6528	3.88825 16.038 6.23096	5.57536 1.91581 8.40482	-3.51199 30.8107 5.91365	-3.99975 15.8166 5.6744	-4.47391 1.78996 8.84249	
-0.37912 31.8207 6.42409	-0.64764 34.005 8.13451	-0.767138 37.0191 8.81428	-0.834344 40.0837 9.22107	-0.806862 43.1708 9.39673	-0.554865 51.3433 8.78325	-0.494581 55.5516 8.17995	0.511488 48.8681 8.16991	5.58279 49.7812 8.60228	14.6531 50.935 6.94608	22.3528 51.7303 5.9985	-1.55599 48.9136 7.92646	-6.61486 49.8171 7.3517	-15.4903 49.7528 10.1026	-23.2567 50.0516 10.7423	2.71941 31.007 6.72617	3.99116 16.0635 6.28903	5.59337 1.92345 8.41055	-3.41057 30.8364 5.9817	-3.95386 15.8431 5.82989	-4.47371 1.78754 8.85971	
