Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
-1.402 35.1487 7.4	-1.22415 37.7518 9.13337	-1.34313 41.161 9.79632	-1.49179 44.6156 10.1423	-1.74802 48.0808 10.2017	-2.38725 57.2009 9.04883	-2.45209 61.9008 8.18942	-0.975002 54.5054 8.41623	4.64534 55.924 8.79798	14.9765 55.638 10.5512	23.4402 57.2076 8.04427	-3.30455 54.3273 8.29941	-8.94582 55.6318 7.82935	-19.1881 55.6208 10.0616	-27.7187 57.45 7.99623	2.01249 33.9657 7.30202	3.58793 18.2742 6.01528	5.05401 2.11409 9.96765	-4.9161 34.3068 7.50069	-4.62617 18.4951 8.01702	-4.3589 1.85492 9.41471	
-1.2997 35.1096 7.2528	-1.11721 37.7274 8.96339	-1.19909 41.1328 9.65101	-1.31695 44.5839 10.0415	-1.57978 48.0481 10.1256	-2.25593 57.1712 9.01884	-2.33366 61.8769 8.193	-0.838372 54.4834 8.36565	4.79345 55.8576 8.74054	15.1335 55.5783 10.4412	23.5841 57.2041 7.92591	-3.16795 54.2981 8.2613	-8.82454 55.5479 7.82838	-19.0601 55.5322 10.0915	-27.5897 57.3976 8.05476	2.10895 33.9079 7.18369	3.4872 18.1484 6.86767	4.99615 1.83109 10.0908	-4.81869 34.2871 7.34247	-4.58214 18.4778 7.95326	-4.36619 1.84209 9.41105	
-1.16221 35.1677 7.08291	-1.0446 37.7878 8.79563	-1.10399 41.1839 9.53002	-1.19503 44.6289 9.97737	-1.44768 48.0936 10.0704	-2.10597 57.2175 8.95943	-2.20761 61.9274 8.16029	-0.695967 54.5261 8.30463	4.95342 55.8218 8.69459	15.2993 55.5208 10.356	23.7268 57.1928 7.79387	-3.02619 54.346 8.20584	-8.70778 55.4976 7.83194	-18.9304 55.4285 10.1518	-27.4503 57.3274 8.10542	2.26558 34.0198 7.06097	3.46683 18.2434 7.20587	4.95267 1.87738 10.1836	-4.6687 34.2898 7.12405	-4.50552 18.4874 7.90942	-4.36781 1.85516 9.4162	
-1.01841 35.2921 6.94231	-1.0178 37.9153 8.65435	-1.10375 41.3038 9.42052	-1.19649 44.7428 9.91184	-1.40612 48.2101 10.0123	-1.93666 57.3425 8.90292	-2.07193 62.0548 8.12272	-0.560283 54.6327 8.25282	5.10189 55.8645 8.66392	15.4509 55.4794 10.288	23.8526 57.1536 7.64375	-2.89228 54.484 8.14405	-8.59559 55.5455 7.84068	-18.7948 55.3348 10.2532	-27.3036 57.2174 8.14647	2.44187 34.2475 6.99837	3.52707 18.4675 7.41465	4.92892 2.05457 10.1663	-4.49705 34.3095 6.90591	-4.40523 18.5141 7.83211	-4.35255 1.88829 9.4134	
-0.898712 35.4032 6.87021	-0.994366 38.0425 8.55461	-1.12811 41.4307 9.31508	-1.23917 44.8681 9.81347	-1.39713 48.3374 9.93803	-1.76579 57.486 8.89842	-1.93163 62.1983 8.12446	-0.430298 54.7586 8.23669	5.23374 55.979 8.65582	15.5835 55.4878 10.2461	23.9634 57.1088 7.50146	-2.76358 54.6501 8.10953	-8.47425 55.6828 7.84806	-18.6502 55.3059 10.3373	-27.168 57.1129 8.2008	2.58054 34.4334 7.01888	3.60595 18.6536 7.57276	4.94316 2.20643 10.1465	-4.35397 34.3462 6.76168	-4.31045 18.5516 7.70426	-4.33074 1.93729 9.40294	
-0.810111 35.4751 6.8412	-0.963119 38.136 8.48693	-1.12702 41.5276 9.2261	-1.24868 44.9664 9.71241	-1.37225 48.436 9.8639	-1.62504 57.5986 8.91711	-1.78983 62.3131 8.15679	-0.316299 54.8626 8.23763	5.3451 56.0956 8.65554	15.6991 55.5379 10.1959	24.0673 57.091 7.37757	-2.64958 54.783 8.09061	-8.3564 55.8381 7.83478	-18.5202 55.359 10.3559	-27.0708 57.0865 8.28569	2.6739 34.5392 7.07289	3.71309 18.7628 7.69204	5.0263 2.2948 10.1419	-4.25296 34.3852 6.67798	-4.24217 18.5863 7.54796	-4.32226 1.98709 9.38625	
-0.712114 35.5109 6.8333	-0.885213 38.1875 8.45135	-1.05747 41.5822 9.17438	-1.1846 45.0223 9.64967	-1.30249 48.4915 9.81541	-1.52085 57.6605 8.9247	-1.65893 62.3802 8.19104	-0.216809 54.9247 8.23567	5.44328 56.1653 8.64885	15.8057 55.6031 10.1297	24.1681 57.1329 7.28168	-2.54943 54.8535 8.07461	-8.24979 55.9377 7.79736	-18.4147 55.4613 10.3146	-27.0069 57.138 8.37964	2.77044 34.5818 7.10988	3.84782 18.8107 7.79617	5.11549 2.32329 10.1368	-4.1518 34.415 6.64536	-4.18952 18.6099 7.39211	-4.33464 2.0277 9.37467	
-0.604317 35.5135 6.827	-0.773279 38.1975 8.43318	-0.940012 41.5937 9.15046	-1.06996 45.034 9.62343	-1.19896 48.5028 9.78889	-1.4371 57.672 8.90442	-1.53708 62.398 8.20635	-0.125122 54.9397 8.21618	5.53748 56.1693 8.62803	15.9088 55.6515 10.0615	24.2639 57.2041 7.20393	-2.45722 54.8631 8.05008	-8.15093 55.9742 7.74387	-18.3266 55.5824 10.232	-26.962 57.2246 8.46717	2.87567 34.5775 7.11228	3.95671 18.809 7.85192	5.15526 2.30859 10.1366	-4.04632 34.4248 6.6392	-4.14406 18.6146 7.26241	-4.35538 2.04811 9.3662	
-0.49102 35.4961 6.79111	-0.645783 38.1763 8.40498	-0.804613 41.5717 9.12806	-0.936321 45.0112 9.60676	-1.08189 48.4796 9.76495	-1.36367 57.6456 8.86021	-1.42467 62.3772 8.19664	-0.0393644 54.918 8.17714	5.6273 56.1269 8.59431	16.0039 55.6748 10.0123	24.3471 57.266 7.14173	-2.37119 54.8301 8.01285	-8.05581 55.9803 7.68322	-18.2426 55.6973 10.1403	-26.9173 57.3102 8.54953	2.98754 34.5498 7.05923	4.03082 18.7822 7.86995	5.15672 2.27461 10.1394	-3.93678 34.4174 6.61502	-4.09867 18.6057 7.18286	-4.37119 2.04984 9.36248	
-0.379522 35.4706 6.72241	-0.518883 38.1365 8.36115	-0.671596 41.5292 9.09791	-0.803901 44.9675 9.58523	-0.964208 48.4356 9.73725	-1.29015 57.598 8.81187	-1.31756 62.3334 8.17365	0.0452421 54.8749 8.13227	5.71503 56.0667 8.55619	16.0924 55.6742 9.98596	24.4217 57.3143 7.10243	-2.2865 54.7759 7.97321	-7.95984 55.9755 7.62556	-18.1531 55.783 10.0646	-26.8563 57.3878 8.62897	3.0984 34.5143 6.96175	4.07553 18.7468 7.85157	5.13727 2.23779 10.142	-3.82866 34.4011 6.55674	-4.05096 18.591 7.14888	-4.37781 2.04071 9.36293	
