Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
-3.065 35.1589 8.1263	-2.89026 37.7672 9.85208	-3.01894 41.186 10.4619	-3.18561 44.6461 10.7379	-3.52882 48.104 10.6925	-4.46312 57.156 9.24299	-4.63686 61.793 8.10272	-2.97739 54.4844 8.68107	2.63748 55.9555 8.91736	13.0159 55.2601 10.2185	21.4981 56.6613 7.67464	-5.30173 54.2322 8.60393	-11.0287 55.1041 8.16968	-21.1148 53.5802 10.5852	-29.8378 54.1914 8.60571	0.361599 34.0174 7.97362	2.49584 18.4166 6.41819	4.4853 2.45379 10.9072	-6.56639 34.2744 8.28675	-5.32056 18.514 8.9329	-4.00143 1.89917 9.99525	
-3.0337 35.1564 7.992	-2.88635 37.78 9.69709	-2.98247 41.1959 10.3282	-3.11433 44.6541 10.6447	-3.44991 48.1129 10.6171	-4.38035 57.1702 9.19858	-4.57325 61.8157 8.09632	-2.9 54.4987 8.62233	2.73238 55.9021 8.85337	13.116 55.1937 10.1052	21.5831 56.6265 7.52884	-5.22493 54.2493 8.55438	-10.9667 55.0468 8.17685	-21.0366 53.5058 10.6488	-29.7616 54.1603 8.69221	0.396912 34.0211 7.89289	2.36839 18.3348 7.25029	4.47704 2.21305 11.0665	-6.53502 34.2657 8.11557	-5.3051 18.5105 8.90325	-4.007 1.89598 9.99585	
-2.9877 35.2028 7.8701	-2.90411 37.8366 9.56361	-2.99178 41.2482 10.2193	-3.10346 44.7033 10.5752	-3.4128 48.1645 10.5556	-4.2795 57.2288 9.14117	-4.49987 61.8805 8.07086	-2.819 54.5469 8.5625	2.83001 55.8818 8.79385	13.2154 55.1217 9.99978	21.6611 56.5777 7.36665	-5.14573 54.3142 8.49684	-10.9022 55.0297 8.18381	-20.9441 53.4275 10.7293	-29.6637 54.1142 8.75936	0.458548 34.1119 7.83654	2.32551 18.3997 7.8796	4.42688 2.15747 11.1498	-6.4788 34.2671 7.9376	-5.27583 18.5172 8.86247	-4.00903 1.90309 9.99612	
-2.93641 35.2921 7.78561	-2.94078 37.9383 9.46176	-3.06047 41.3489 10.1179	-3.17872 44.8021 10.4884	-3.44157 48.2673 10.4805	-4.17075 57.348 9.09417	-4.42044 62.0044 8.05121	-2.74804 54.6469 8.51079	2.91123 55.9358 8.75182	13.2934 55.0703 9.91366	21.7171 56.5083 7.20158	-5.07773 54.4487 8.43738	-10.8437 55.1125 8.19466	-20.8424 53.3821 10.8254	-29.5528 54.0482 8.80837	0.530123 34.2681 7.83507	2.35662 18.5594 8.34781	4.41919 2.21267 11.077	-6.40947 34.2893 7.78349	-5.23024 18.5412 8.76775	-3.99209 1.93123 9.99037	
-2.87791 35.3793 7.7575	-2.96643 38.0462 9.39825	-3.12882 41.4593 10.0313	-3.26409 44.9132 10.39	-3.48358 48.3814 10.3993	-4.07271 57.4815 9.07494	-4.33467 62.1441 8.0633	-2.68817 54.7637 8.47743	2.97565 56.0332 8.71425	13.3523 55.0522 9.83293	21.7599 56.4352 7.04347	-5.02027 54.6006 8.39439	-10.787 55.2725 8.19341	-20.741 53.4115 10.903	-29.4523 53.9977 8.86525	0.604368 34.4189 7.89616	2.37706 18.7153 8.68146	4.38362 2.30401 11.0399	-6.33167 34.3139 7.69267	-5.17146 18.5626 8.64748	-3.96462 1.95824 9.9738	
-2.82901 35.4391 7.7692	-2.96923 38.1268 9.37198	-3.16388 41.5425 9.98133	-3.31638 44.9974 10.3237	-3.50816 48.4671 10.3423	-3.99781 57.5793 9.06121	-4.24793 62.2497 8.08269	-2.63897 54.8504 8.45572	3.02675 56.1139 8.67852	13.4025 55.0648 9.74222	21.8062 56.3859 6.91108	-4.97226 54.7119 8.36237	-10.7355 55.4158 8.17162	-20.6723 53.5043 10.9091	-29.4091 54.0172 8.96305	0.658248 34.5109 7.98231	2.39104 18.8084 8.86958	4.35358 2.36556 11.0382	-6.27194 34.3429 7.65774	-5.12586 18.5839 8.49409	-3.95001 1.98914 9.96112	
-2.78121 35.4667 7.7948	-2.94837 38.169 9.3701	-3.15823 41.5868 9.96249	-3.3216 45.042 10.2965	-3.50331 48.5124 10.3132	-3.94636 57.6276 9.03711	-4.16383 62.3059 8.08934	-2.59736 54.893 8.4352	3.07047 56.1491 8.64607	13.451 55.0831 9.64425	21.8532 56.3651 6.79085	-4.93085 54.7651 8.332	-10.689 55.5032 8.11933	-20.6331 53.6327 10.8587	-29.4039 54.1102 9.06212	0.706309 34.5521 8.05666	2.43679 18.8506 8.96682	4.35623 2.3901 11.0376	-6.21913 34.3582 7.65445	-5.09557 18.5905 8.34683	-3.96005 2.00591 9.95338	
-2.72021 35.4777 7.8106	-2.89428 38.1827 9.38053	-3.11011 41.6011 9.96732	-3.28272 45.0563 10.297	-3.4707 48.5263 10.3023	-3.91555 57.638 9.00153	-4.08654 62.3235 8.08017	-2.56205 54.9029 8.41191	3.10976 56.142 8.61616	13.497 55.0879 9.55573	21.8935 56.3432 6.67392	-4.895 54.773 8.29963	-10.649 55.5344 8.05753	-20.6186 53.7688 10.7735	-29.4213 54.2357 9.13711	0.765926 34.5631 8.09016	2.50432 18.8605 8.96657	4.3969 2.39492 11.0214	-6.1576 34.3694 7.6562	-5.06678 18.5956 8.25348	-3.97401 2.01742 9.95373	
-2.65971 35.4652 7.8045	-2.82949 38.1648 9.38417	-3.04404 41.5829 9.97324	-3.22063 45.0378 10.3036	-3.41997 48.5072 10.2947	-3.88968 57.6121 8.95541	-4.01107 62.3036 8.05715	-2.52581 54.8789 8.38099	3.14828 56.1073 8.58668	13.5403 55.0702 9.49094	21.9229 56.3013 6.5584	-4.858 54.7411 8.26231	-10.6067 55.5293 7.98363	-20.6051 53.8907 10.6733	-29.4304 54.3619 9.16469	0.824086 34.5418 8.08444	2.56415 18.8362 8.89978	4.42482 2.37481 11.0168	-6.09938 34.3651 7.64235	-5.03983 18.5881 8.2121	-3.98307 2.01194 9.95373	
-2.60681 35.4413 7.77641	-2.76606 38.1292 9.37705	-2.97745 41.546 9.97489	-3.15626 45.0003 10.3093	-3.36715 48.469 10.2884	-3.86412 57.5669 8.91179	-3.94423 62.2619 8.02738	-2.48925 54.8361 8.35212	3.18782 56.0508 8.55689	13.5818 55.0263 9.45334	21.947 56.2412 6.46495	-4.8206 54.6899 8.22726	-10.5635 55.5066 7.91345	-20.5859 53.9763 10.5775	-29.4212 54.471 9.13687	0.874276 34.5045 8.04526	2.60343 18.7953 8.81435	4.4382 2.34313 11.0233	-6.05022 34.3537 7.60967	-5.01336 18.5767 8.21974	-3.97965 1.99841 9.95547	
