Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
0.817899 -0.0196565 -0.000505057 0.575026	0.746893 -0.0122721 0.0110296 0.664739	0.736872 -0.00733142 0.0161013 0.675801	0.684184 -0.0264646 0.0542553 0.726807	0.674616 -0.0330562 0.0666102 0.734414	0.711537 -0.0435945 0.0567766 0.698993	0.76851 -0.00864669 0.0326639 0.638945	0.776837 0.163025 0.226936 0.564311	0.875812 -0.0950043 -0.0331661 0.472046	0.877657 0.0760991 -0.123796 0.45673	0.8044 0.286913 0.0314074 0.519264	0.675594 -0.138001 -0.204711 0.69471	0.877133 0.0979544 0.100583 0.459267	0.878984 -0.0796482 0.1905 0.429829	0.792406 -0.302388 0.101806 0.519894	0.793492 0.00373247 0.0542196 0.606149	0.537168 -0.0151085 0.0522056 0.841723	0.631897 -0.0182701 -0.000980338 0.774837	0.659591 0.0829555 -0.0508239 0.745302	0.673793 0.0819634 -0.0524088 0.732488	0.739647 0.0876487 -0.0673863 0.663851	
0.817903 -0.0251419 -0.00706016 0.574763	0.749274 -0.0140501 0.0070048 0.662074	0.740086 -0.00772477 0.0128351 0.672346	0.689179 -0.0226346 0.0528146 0.722309	0.679334 -0.0288499 0.0657992 0.730304	0.712108 -0.0406413 0.0567069 0.698595	0.768083 -0.00844211 0.0335045 0.639418	0.780004 0.163689 0.22767 0.559433	0.878287 -0.0929227 -0.0332089 0.467841	0.879748 0.0778875 -0.122648 0.452698	0.806129 0.287739 0.0343195 0.515931	0.679363 -0.133616 -0.207475 0.691062	0.880761 0.0967446 0.0992264 0.452829	0.882355 -0.0809264 0.187578 0.423928	0.79537 -0.303043 0.0984854 0.515609	0.766471 0.00581269 0.0446312 0.6407	0.553807 -0.00705621 0.0444515 0.831428	0.674463 -0.00347678 0.00793097 0.738258	0.655789 0.0838292 -0.0534317 0.748371	0.672379 0.082612 -0.055295 0.733501	0.740311 0.0872887 -0.0669267 0.663205	
0.818374 -0.0250988 -0.00881776 0.57407	0.751227 -0.0157619 0.00446537 0.65984	0.742687 -0.00847098 0.0108706 0.669496	0.692586 -0.0201074 0.0517051 0.719199	0.68245 -0.0258877 0.0649955 0.727576	0.712496 -0.0378284 0.0573003 0.698309	0.768805 -0.00832392 0.0347934 0.638482	0.783433 0.162023 0.227646 0.555121	0.881457 -0.0916795 -0.0337467 0.462049	0.882594 0.0800058 -0.122207 0.44687	0.808702 0.289987 0.0381051 0.51035	0.683649 -0.126402 -0.208651 0.687831	0.884225 0.096727 0.0982331 0.446251	0.885622 -0.0829757 0.185924 0.417398	0.801363 -0.302336 0.0963262 0.507081	0.744188 0.00893039 0.0322787 0.66713	0.57233 0.00132945 0.0334649 0.819339	0.700988 -0.000934264 0.0162301 0.712988	0.653068 0.086524 -0.0587452 0.750043	0.670308 0.0851366 -0.0607384 0.734677	0.740825 0.0874431 -0.067043 0.662599	
0.818223 -0.0236739 -0.00622866 0.57438	0.752937 -0.0168887 0.00552782 0.657853	0.744841 -0.0100177 0.0116764 0.667065	0.694605 -0.0201738 0.0508553 0.717308	0.684227 -0.0254798 0.0639835 0.72601	0.71347 -0.0347547 0.0581519 0.697403	0.769126 -0.00775809 0.0358206 0.638046	0.785078 0.160358 0.227935 0.553158	0.883844 -0.0914593 -0.0345272 0.457452	0.884813 0.0815593 -0.122525 0.442089	0.812331 0.291407 0.041309 0.503482	0.685551 -0.118942 -0.21018 0.686802	0.886464 0.0990358 0.096858 0.441579	0.887957 -0.0846095 0.18524 0.412383	0.805481 -0.303785 0.0899621 0.500822	0.723578 0.0124169 0.0199943 0.689841	0.591196 0.00871296 0.021864 0.806184	0.717551 0.00123627 0.0237189 0.696101	0.651765 0.0855588 -0.0604146 0.751154	0.66821 0.0842024 -0.0622912 0.736563	0.741326 0.0877218 -0.0680277 0.661901	
0.817406 -0.0257605 -0.00118094 0.575485	0.754172 -0.019665 0.00946727 0.656314	0.746489 -0.0135447 0.0151813 0.665087	0.696236 -0.0225207 0.0509374 0.715649	0.685763 -0.0273313 0.063573 0.724528	0.714014 -0.0319706 0.0591181 0.696898	0.768581 -0.00661933 0.0365742 0.638672	0.785163 0.16053 0.228137 0.552904	0.885227 -0.0917507 -0.0356072 0.454629	0.886167 0.082177 -0.123352 0.439021	0.816103 0.291803 0.0418564 0.497066	0.68647 -0.113826 -0.211477 0.686353	0.888024 0.102693 0.095599 0.437867	0.889856 -0.0853793 0.185097 0.408174	0.811858 -0.303291 0.0893704 0.490831	0.708299 0.0183799 0.00604923 0.705647	0.605797 0.017387 0.00849166 0.795384	0.726404 0.00451873 0.0318568 0.686515	0.651395 0.0802142 -0.0571055 0.752322	0.666522 0.0790393 -0.0587209 0.738954	0.740673 0.0884161 -0.0693223 0.662405	
0.816855 -0.0285834 0.00587122 0.576105	0.754675 -0.0239025 0.0144034 0.655505	0.747247 -0.0184754 0.0196826 0.663997	0.69733 -0.025807 0.0517539 0.714414	0.686932 -0.0300679 0.0639078 0.723281	0.714263 -0.0302562 0.0597419 0.696666	0.768096 -0.00527694 0.0373021 0.639225	0.78527 0.161075 0.228141 0.552591	0.885698 -0.0923012 -0.0369403 0.453493	0.886673 0.0824018 -0.124771 0.437553	0.818527 0.291563 0.0392282 0.493423	0.687321 -0.110101 -0.211858 0.685991	0.889271 0.106813 0.0945999 0.434555	0.89167 -0.084486 0.184732 0.404551	0.81654 -0.302713 0.0909605 0.483066	0.695878 0.0161303 0.00450093 0.717965	0.618892 0.0155861 0.0061252 0.785298	0.730451 0.00592825 0.036846 0.681945	0.652069 0.0757905 -0.0547405 0.752373	0.663948 0.0749107 -0.0559385 0.741911	0.738891 0.0893119 -0.0708057 0.664115	
0.816801 -0.0309215 0.0115002 0.575975	0.754877 -0.0270707 0.0185258 0.655046	0.747372 -0.0223008 0.0233917 0.663619	0.698015 -0.0289572 0.0527312 0.713551	0.687815 -0.0326983 0.064659 0.72226	0.714094 -0.0290882 0.060625 0.696813	0.767491 -0.00441845 0.0372611 0.639961	0.786331 0.162072 0.227635 0.550997	0.884948 -0.0925987 -0.0381737 0.454791	0.885936 0.0826139 -0.126556 0.438492	0.818778 0.291303 0.0334673 0.493585	0.687573 -0.107453 -0.211384 0.686304	0.889174 0.110222 0.0939177 0.43405	0.89217 -0.0825332 0.184592 0.403913	0.817662 -0.300886 0.0915852 0.482192	0.685192 0.0028265 0.0190885 0.728107	0.630446 0.00143131 0.0192435 0.775993	0.731557 0.00638618 0.0362983 0.680784	0.653391 0.0716705 -0.0522828 0.751804	0.661464 0.0711023 -0.053053 0.744711	0.735765 0.0900279 -0.0723821 0.667313	
0.815985 -0.0320569 0.0141184 0.577011	0.75479 -0.0278483 0.0204606 0.655056	0.747316 -0.0237152 0.0248495 0.663581	0.69859 -0.0301414 0.0531586 0.712908	0.688512 -0.0337222 0.0651406 0.721506	0.713563 -0.0285906 0.0606253 0.697377	0.766899 -0.00382817 0.0369591 0.640692	0.787564 0.163084 0.226728 0.549309	0.883534 -0.0922075 -0.0392293 0.457523	0.884442 0.0830399 -0.128286 0.440918	0.816757 0.291408 0.0280144 0.497196	0.687923 -0.106528 -0.210917 0.686242	0.88819 0.112132 0.093966 0.435564	0.891743 -0.0790501 0.184323 0.405673	0.816809 -0.298255 0.0929092 0.48501	0.676104 -0.0163968 0.040782 0.735494	0.639325 -0.0183717 0.0399313 0.767679	0.731474 0.00606894 0.0346868 0.680959	0.654872 0.0696313 -0.051602 0.750754	0.659468 0.0693132 -0.0520285 0.74672	0.733051 0.0911353 -0.0738151 0.669987	
0.814373 -0.0314603 0.0138411 0.579323	0.754348 -0.0259842 0.0204926 0.65564	0.747028 -0.0222503 0.0245375 0.663967	0.699117 -0.029382 0.0529464 0.712439	0.689159 -0.0329998 0.0649081 0.720942	0.713153 -0.0283496 0.0601193 0.69785	0.76626 -0.00384974 0.0360205 0.641508	0.788479 0.164195 0.226179 0.54789	0.882286 -0.091419 -0.040021 0.460013	0.88307 0.0835112 -0.129522 0.443212	0.81364 0.293068 0.0251407 0.501467	0.688327 -0.106505 -0.210888 0.685849	0.886776 0.112412 0.0944638 0.438257	0.890697 -0.0752706 0.183911 0.408864	0.813567 -0.294953 0.095001 0.492023	0.667444 -0.0349864 0.0612371 0.741312	0.646222 -0.0367035 0.0602236 0.759884	0.731706 0.00615062 0.0326959 0.680808	0.655346 0.0700144 -0.0536736 0.750159	0.658774 0.0697679 -0.0539936 0.74715	0.731853 0.0915108 -0.0740684 0.671216	
0.812168 -0.0296247 0.0118653 0.58255	0.753523 -0.0227239 0.0193372 0.656745	0.74651 -0.0190997 0.0232209 0.664694	0.699592 -0.0271971 0.0521402 0.712119	0.689801 -0.0310253 0.0637844 0.720516	0.713064 -0.028253 0.059181 0.698026	0.76586 -0.00412077 0.0352642 0.642026	0.788965 0.165236 0.226037 0.546936	0.882089 -0.0901194 -0.040285 0.460624	0.882661 0.0843332 -0.129693 0.443821	0.810725 0.29647 0.0254275 0.504167	0.68926 -0.107386 -0.211932 0.684452	0.886259 0.11176 0.0951606 0.439316	0.89044 -0.0711474 0.182669 0.410714	0.809091 -0.292887 0.0938634 0.500778	0.659236 -0.0498086 0.0763457 0.74639	0.65203 -0.0505403 0.0758633 0.752694	0.732698 0.00584274 0.0316608 0.679792	0.654727 0.0723992 -0.0579546 0.750154	0.659125 0.0720573 -0.0583791 0.746293	0.732684 0.0910186 -0.0736701 0.670419	
