Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
0.810045 -0.0243221 -0.0163423 0.585636	0.741315 -0.0118874 -0.00335216 0.671044	0.732902 -0.00786334 0.000132486 0.680289	0.67885 -0.0136711 0.0354371 0.733294	0.666989 -0.0179993 0.0486411 0.74326	0.68537 -0.019528 0.0480189 0.726348	0.735406 0.00339552 0.0336663 0.676782	0.749785 0.167151 0.204613 0.606644	0.864032 -0.133183 -0.0247655 0.484868	0.874081 0.0165118 -0.107304 0.473494	0.815814 0.217422 0.0499164 0.533558	0.645029 -0.114866 -0.227599 0.720376	0.8814 0.123085 0.0565171 0.452537	0.888785 -0.0455673 0.140955 0.433723	0.778548 -0.26298 0.0403733 0.568396	0.784607 -0.0218384 0.0754065 0.615003	0.551716 -0.044419 0.0647302 0.830329	0.635538 -0.0203894 0.0319572 0.771139	0.646885 0.096969 -0.0887888 0.751168	0.669185 0.0942547 -0.0916651 0.731372	0.742849 0.0779024 -0.0595842 0.662235	
0.810884 -0.036335 -0.0241284 0.583579	0.745391 -0.0155026 -0.0062991 0.666418	0.737984 -0.00983085 -0.0019665 0.674744	0.684951 -0.00999118 0.0345517 0.727701	0.672492 -0.0137643 0.0482858 0.738399	0.685586 -0.0172668 0.0477085 0.726221	0.735336 0.0040808 0.0332865 0.676872	0.753223 0.169155 0.205508 0.601504	0.864965 -0.129213 -0.0269146 0.484164	0.874323 0.0204808 -0.109246 0.472445	0.815948 0.219931 0.0477917 0.532518	0.64902 -0.112131 -0.231067 0.716106	0.884163 0.120354 0.0558658 0.447939	0.891021 -0.0480727 0.13911 0.42944	0.782424 -0.261869 0.0392068 0.56365	0.751505 -0.0277443 0.0775189 0.65457	0.572368 -0.0455443 0.0685903 0.815853	0.692329 -0.00928351 0.0375881 0.720543	0.640672 0.10036 -0.0937272 0.755435	0.667971 0.0968517 -0.0973482 0.731408	0.743685 0.0793003 -0.0574462 0.661319	
0.812466 -0.0420201 -0.0263121 0.580897	0.748943 -0.0196737 -0.00775451 0.662297	0.742365 -0.0126528 -0.00270346 0.66987	0.689307 -0.00708506 0.0341205 0.723631	0.676071 -0.0102498 0.0480845 0.735195	0.685224 -0.0152352 0.0477507 0.726606	0.736642 0.00407147 0.0332979 0.675451	0.756724 0.168398 0.205276 0.597388	0.866846 -0.126665 -0.0297381 0.481299	0.875711 0.0244248 -0.112134 0.468998	0.817964 0.225336 0.0484095 0.527081	0.653394 -0.106409 -0.231917 0.712719	0.887279 0.119184 0.0556008 0.442085	0.893776 -0.0513191 0.138465 0.423507	0.784988 -0.264018 0.0361655 0.559268	0.72902 -0.0266279 0.0683903 0.680546	0.589258 -0.0389194 0.0622219 0.804605	0.726223 -0.00549319 0.042291 0.686135	0.636115 0.101922 -0.0979558 0.758534	0.666655 0.097824 -0.102049 0.731838	0.744033 0.0786542 -0.0564649 0.66109	
0.814043 -0.0420853 -0.0213513 0.578884	0.751902 -0.023087 -0.00482225 0.658853	0.745801 -0.0161604 0.000190109 0.665972	0.691369 -0.00779605 0.0345427 0.721633	0.677319 -0.0105546 0.0481003 0.73404	0.685425 -0.0129751 0.0484855 0.726411	0.738032 0.00483441 0.0336793 0.673907	0.757845 0.165532 0.205178 0.596802	0.86846 -0.126313 -0.0332626 0.478242	0.877168 0.0274615 -0.11636 0.465062	0.822369 0.231072 0.0490403 0.5176	0.655496 -0.09908 -0.232055 0.711799	0.888861 0.121637 0.0555279 0.438232	0.895533 -0.0537665 0.139796 0.419031	0.790039 -0.268213 0.0330659 0.550279	0.71328 -0.0204748 0.0510386 0.698718	0.604348 -0.0276638 0.0475276 0.79482	0.742091 -0.00274953 0.0497272 0.668447	0.634014 0.0997713 -0.0990768 0.760432	0.664984 0.0955794 -0.103127 0.733502	0.743985 0.0787892 -0.0566244 0.661114	
0.815075 -0.0403208 -0.00854253 0.577888	0.75426 -0.0276244 0.00337643 0.655986	0.748508 -0.0219488 0.0076903 0.662718	0.692111 -0.0126482 0.0364061 0.720761	0.677468 -0.0148454 0.0488536 0.733778	0.685757 -0.0113589 0.0495679 0.726052	0.73748 0.0065893 0.0343717 0.674461	0.756739 0.163405 0.204824 0.598909	0.869175 -0.128406 -0.0373632 0.476078	0.878119 0.0293438 -0.122027 0.461688	0.828268 0.234739 0.045949 0.506713	0.655546 -0.0936414 -0.231272 0.712743	0.889252 0.12734 0.055797 0.435777	0.896715 -0.0537306 0.142125 0.415711	0.797338 -0.271909 0.0327344 0.537816	0.704611 -0.00838019 0.0274706 0.709012	0.615226 -0.0115898 0.0262781 0.787827	0.744246 -0.00223161 0.0547486 0.665654	0.634373 0.0926535 -0.0959498 0.761432	0.662722 0.0889576 -0.0993859 0.736891	0.743432 0.0787073 -0.0572804 0.66169	
0.815068 -0.0396663 0.00729461 0.57796	0.75492 -0.0328287 0.0138827 0.654848	0.749478 -0.0287841 0.0172588 0.661179	0.692455 -0.0198109 0.0397679 0.720091	0.677807 -0.0214597 0.0512013 0.733141	0.68642 -0.0110796 0.0506729 0.725353	0.736036 0.00898315 0.0346119 0.675997	0.755479 0.162139 0.204647 0.600901	0.868097 -0.131903 -0.0417253 0.476726	0.877543 0.0301527 -0.128769 0.460898	0.832458 0.236284 0.0372384 0.499796	0.655149 -0.0909272 -0.229881 0.713909	0.888514 0.1343 0.056635 0.435084	0.897173 -0.0507367 0.144642 0.414228	0.804332 -0.271373 0.0352113 0.527415	0.700861 0.000944469 0.0100143 0.713227	0.621801 -0.000116052 0.0100581 0.78311	0.739548 -0.00220677 0.0561014 0.670759	0.636851 0.0834035 -0.0907005 0.761077	0.659467 0.0806361 -0.0931695 0.741566	0.742151 0.0771342 -0.0595856 0.663108	
0.814395 -0.0388353 0.0196707 0.578676	0.754401 -0.0361416 0.0221291 0.655044	0.749052 -0.0336529 0.0245485 0.6612	0.692972 -0.0263864 0.043359 0.719176	0.678844 -0.0277476 0.0545083 0.731731	0.686757 -0.0124161 0.0521409 0.724909	0.734172 0.00999523 0.0352392 0.677975	0.755539 0.162582 0.204091 0.600895	0.864547 -0.135188 -0.0459316 0.481843	0.874532 0.030167 -0.135917 0.464553	0.831989 0.236725 0.0238117 0.501188	0.6548 -0.0913796 -0.227718 0.714865	0.886838 0.139827 0.0583971 0.436527	0.896682 -0.0446608 0.146514 0.415331	0.80705 -0.266123 0.0408453 0.525529	0.697922 -0.00432337 0.0133669 0.716036	0.627063 -0.00556834 0.012898 0.778841	0.73436 -0.00298937 0.0545637 0.676557	0.64048 0.0715578 -0.0812632 0.760303	0.656843 0.0697758 -0.0827982 0.746212	0.739984 0.0751716 -0.062787 0.665456	
0.813168 -0.0368667 0.024137 0.580359	0.753549 -0.0358345 0.0251263 0.655933	0.748172 -0.0342252 0.0270238 0.66207	0.693739 -0.0296632 0.0456923 0.718163	0.680278 -0.0311815 0.0572288 0.730051	0.68683 -0.0133393 0.0534914 0.724724	0.732882 0.0108071 0.0347324 0.679383	0.757074 0.164024 0.202734 0.599027	0.859763 -0.136944 -0.0495757 0.489485	0.870091 0.0297978 -0.142158 0.471004	0.825732 0.236743 0.0103711 0.511872	0.655267 -0.0938984 -0.225584 0.714787	0.884331 0.141587 0.0617029 0.440573	0.894838 -0.0367971 0.147942 0.419553	0.802036 -0.258999 0.0485403 0.536005	0.693826 -0.0211744 0.0324219 0.719101	0.631669 -0.0237955 0.0305501 0.774271	0.730754 -0.00343634 0.0526791 0.680596	0.643918 0.066592 -0.0778521 0.758205	0.654531 0.065489 -0.0787822 0.749062	0.737355 0.0739378 -0.0664117 0.668155	
0.811496 -0.0326394 0.0208005 0.583075	0.75257 -0.0314989 0.0227628 0.657364	0.747188 -0.0298887 0.0247716 0.663478	0.694513 -0.0289712 0.0461721 0.717412	0.681604 -0.0312272 0.0582824 0.728728	0.686657 -0.0152756 0.0537769 0.724829	0.732752 0.00900101 0.0336479 0.679604	0.759455 0.16487 0.201195 0.596294	0.854941 -0.13657 -0.0523105 0.497683	0.8653 0.028838 -0.146184 0.478597	0.815891 0.238613 0.00241874 0.526668	0.658378 -0.0979817 -0.223337 0.71208	0.882936 0.14041 0.0654635 0.443198	0.893549 -0.0293266 0.148205 0.422783	0.792417 -0.243124 0.0551972 0.556704	0.688306 -0.0407695 0.05581 0.722121	0.635199 -0.0446359 0.0527688 0.769249	0.730143 -0.00275441 0.0513466 0.681357	0.64602 0.0719144 -0.085347 0.755118	0.652828 0.071139 -0.0859944 0.749239	0.735489 0.0751813 -0.0679049 0.66992	
0.80986 -0.027873 0.0119975 0.585838	0.751722 -0.0243505 0.0169101 0.658814	0.746458 -0.0220567 0.0194531 0.664783	0.69522 -0.0244018 0.044808 0.716984	0.68266 -0.0275529 0.0572012 0.727973	0.687343 -0.016566 0.0527989 0.724222	0.733984 0.00757719 0.032097 0.678365	0.761344 0.164923 0.199985 0.594274	0.853219 -0.135037 -0.0537925 0.500887	0.863389 0.0278847 -0.147061 0.481824	0.80869 0.24045 0.00286383 0.536839	0.662234 -0.102195 -0.221992 0.708323	0.882901 0.137835 0.0689284 0.443549	0.893294 -0.0232167 0.147584 0.423918	0.781859 -0.230854 0.060746 0.575945	0.680699 -0.0564771 0.0737571 0.726649	0.639165 -0.060498 0.0704965 0.763439	0.731457 -0.00186877 0.0505106 0.680011	0.64608 0.0824775 -0.0979241 0.752455	0.652353 0.0816553 -0.0986107 0.747024	0.7349 0.0774689 -0.0676941 0.670326	
