Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
0.73393 -0.00285023 -0.061282 0.676449	0.695551 0.0234987 -0.0274022 0.71757	0.675594 0.031253 -0.0177727 0.736397	0.683485 0.00856854 0.0123954 0.729809	0.688436 0.000924572 0.0231398 0.724927	0.713616 -0.0239405 0.0214188 0.6998	0.779951 -0.048229 0.0429909 0.622496	0.646933 0.120622 0.36084 0.66085	0.894202 -0.159153 0.012728 0.418224	0.904141 0.0863527 -0.0998386 0.406331	0.752972 0.175311 0.0520368 0.632132	0.657614 -0.203838 -0.196177 0.698219	0.857058 0.171376 0.0328143 0.484772	0.87036 -0.0799563 0.169594 0.455323	0.794347 -0.0939457 0.132544 0.585337	0.766612 0.00174266 0.0753887 0.637667	0.62267 -0.0134579 0.0741982 0.778842	0.712485 0.0252661 0.0245481 0.700802	0.73762 0.0412359 -0.000677315 0.673955	0.633858 0.0409103 0.00521611 0.772349	0.701624 0.10402 -0.0413638 0.703699	
0.730101 0.00250074 -0.0666197 0.680079	0.69464 0.0257091 -0.0377657 0.717905	0.676351 0.0348103 -0.0273819 0.735247	0.683589 0.0148214 0.00946998 0.729655	0.688127 0.00703977 0.022379 0.725211	0.716075 -0.0227612 0.0195208 0.697379	0.781183 -0.0447229 0.0432038 0.621197	0.649229 0.116047 0.358196 0.660856	0.896202 -0.159757 0.010621 0.413748	0.905797 0.090725 -0.102625 0.400959	0.754967 0.18059 0.0529442 0.628179	0.660441 -0.197035 -0.196103 0.697523	0.859039 0.173662 0.030878 0.480562	0.872671 -0.080942 0.16789 0.451338	0.796385 -0.0950721 0.127405 0.583524	0.743361 0.00783513 0.0627107 0.665899	0.641431 -0.0011359 0.063188 0.764573	0.740512 0.0275963 0.0227572 0.671091	0.742039 0.0466989 -0.00986552 0.668655	0.628855 0.0476655 -0.00247266 0.776056	0.700959 0.107142 -0.0415771 0.703881	
0.726638 0.0162593 -0.0611386 0.684102	0.694286 0.0293036 -0.0427666 0.71783	0.67701 0.0368635 -0.0339944 0.734263	0.681799 0.0183922 0.00542379 0.731288	0.685576 0.0111479 0.019767 0.727647	0.717504 -0.0189099 0.0177295 0.696071	0.785876 -0.0412699 0.0424558 0.615544	0.650694 0.107409 0.354157 0.663048	0.897927 -0.163088 0.00756114 0.408744	0.907755 0.0940848 -0.106855 0.394603	0.759351 0.185926 0.0539614 0.621214	0.662164 -0.185089 -0.196776 0.698971	0.86168 0.179125 0.0308297 0.473783	0.876377 -0.0808793 0.168128 0.44402	0.801137 -0.0960859 0.122556 0.577864	0.738453 0.0258581 0.0357907 0.672857	0.644083 0.0209537 0.0388659 0.76368	0.746767 0.030561 0.0213361 0.66404	0.747725 0.0505097 -0.0192427 0.661805	0.623129 0.0530618 -0.010294 0.780249	0.698857 0.105448 -0.0422695 0.706182	
0.719283 0.0266218 -0.0448945 0.692754	0.691463 0.032533 -0.033757 0.720889	0.676315 0.0351428 -0.0289368 0.735204	0.680865 0.0124435 0.000409312 0.732303	0.6846 0.00631353 0.0128227 0.728779	0.720106 -0.0121412 0.0171209 0.693547	0.786182 -0.0384295 0.0415833 0.615395	0.651448 0.104145 0.349514 0.665289	0.898098 -0.170145 0.00338474 0.405535	0.909253 0.093747 -0.112709 0.389573	0.76576 0.188897 0.053513 0.612426	0.664063 -0.177549 -0.197237 0.698995	0.861391 0.189267 0.0319736 0.470278	0.878567 -0.0770484 0.171174 0.439184	0.807164 -0.0949843 0.122013 0.569716	0.740893 0.0368229 0.01998 0.670315	0.647418 0.0339115 0.0245995 0.760983	0.732376 0.0233174 0.0157267 0.680319	0.752234 0.0501772 -0.0228238 0.656586	0.61969 0.0535013 -0.0132775 0.782908	0.696124 0.102759 -0.0431964 0.709215	
0.71828 0.0234786 -0.0297195 0.694722	0.690055 0.0289785 -0.0190528 0.722926	0.674455 0.0276363 -0.0172021 0.737598	0.681963 0.00149396 -0.00186821 0.731382	0.686589 -0.00401249 0.00723755 0.726998	0.721718 -0.0077019 0.0161445 0.691956	0.782114 -0.0352605 0.0416695 0.62074	0.652542 0.108402 0.345233 0.665772	0.896323 -0.175163 -0.000982637 0.407336	0.908859 0.0897252 -0.117965 0.389882	0.772304 0.188662 0.0456054 0.604874	0.664259 -0.180055 -0.19779 0.698011	0.858347 0.199466 0.0317594 0.471642	0.878403 -0.0703842 0.173371 0.439769	0.810258 -0.0905008 0.129142 0.56446	0.74359 0.0264116 0.0338488 0.667256	0.650431 0.021782 0.036998 0.758351	0.719066 0.0173976 0.0133117 0.694596	0.749645 0.0430008 -0.0140806 0.660292	0.621759 0.0448075 -0.00629426 0.781901	0.695052 0.0998801 -0.0445382 0.710594	
0.722376 0.0116503 -0.0198727 0.691116	0.691109 0.0201392 -0.00666142 0.722439	0.673692 0.0176409 -0.00574512 0.738779	0.682967 -0.00687178 -0.000247675 0.730417	0.688397 -0.0119265 0.00565366 0.725214	0.721997 -0.00865999 0.0143681 0.691693	0.781229 -0.0322506 0.0423047 0.621973	0.654183 0.111989 0.341634 0.665425	0.894301 -0.175271 -0.00512906 0.411678	0.907211 0.0863936 -0.122037 0.393208	0.773974 0.185687 0.0308052 0.604596	0.662513 -0.184529 -0.198292 0.698359	0.855276 0.203978 0.0307077 0.475346	0.876902 -0.0643894 0.173107 0.443768	0.809867 -0.0831587 0.13847 0.563939	0.743957 0.00530615 0.0601951 0.665489	0.652179 -0.00248052 0.0603776 0.755653	0.714001 0.0163803 0.0117599 0.699854	0.741426 0.0326815 -0.000164414 0.670238	0.627905 0.0323078 0.00493122 0.777604	0.695864 0.0980371 -0.045847 0.709972	
0.72714 -0.000571247 -0.0143455 0.686339	0.693638 0.0101417 -0.000326547 0.720252	0.675485 0.00865699 0.000973529 0.737322	0.683277 -0.00983918 0.00322219 0.730085	0.688524 -0.0142131 0.00716969 0.725039	0.720736 -0.0134491 0.0116043 0.692982	0.784722 -0.0310825 0.0417902 0.617656	0.654878 0.11293 0.338517 0.666175	0.892083 -0.171821 -0.00881571 0.417837	0.904464 0.0853229 -0.125673 0.398587	0.767078 0.183479 0.0168555 0.614526	0.659238 -0.187002 -0.198244 0.70081	0.853254 0.201816 0.0298495 0.479934	0.874727 -0.0602172 0.170791 0.449508	0.805079 -0.0738867 0.144635 0.570499	0.741338 -0.0130064 0.0814129 0.666048	0.654007 -0.0228981 0.0792017 0.751983	0.715429 0.0145344 0.00999797 0.698463	0.732548 0.0218866 0.0128832 0.680241	0.634273 0.0199524 0.0157131 0.772692	0.69733 0.0973333 -0.0460752 0.708615	
0.73037 -0.00818016 -0.0134253 0.682871	0.696401 0.00319944 -0.000144615 0.717645	0.679167 0.00397729 0.00254286 0.733969	0.683788 -0.00889602 0.00662402 0.729596	0.687951 -0.0127638 0.0102551 0.725573	0.717912 -0.0182916 0.00874762 0.695839	0.788637 -0.0325186 0.0389093 0.612765	0.654099 0.114036 0.335928 0.668059	0.889476 -0.168177 -0.0124067 0.424729	0.901169 0.0857031 -0.129982 0.404541	0.754379 0.183542 0.0100123 0.630178	0.655156 -0.188138 -0.197621 0.7045	0.851609 0.195886 0.0298311 0.485285	0.871995 -0.0568589 0.167901 0.45629	0.796088 -0.0650928 0.146187 0.58364	0.737394 -0.0243397 0.0929569 0.668593	0.656106 -0.0348093 0.0895641 0.748526	0.719221 0.0114718 0.00786125 0.694642	0.726054 0.0143975 0.0206664 0.687177	0.638905 0.0118297 0.0222362 0.768873	0.698297 0.0978404 -0.0455409 0.707626	
0.731706 -0.0102433 -0.0165996 0.681341	0.698602 0.00114814 -0.00362351 0.7155	0.682964 0.00413796 0.000709896 0.73044	0.684908 -0.00609287 0.00858352 0.728553	0.687849 -0.00987096 0.01287 0.725673	0.716072 -0.0211647 0.00750996 0.697665	0.789705 -0.0366489 0.0346774 0.611408	0.653045 0.115639 0.334892 0.669333	0.887134 -0.165835 -0.0160732 0.430389	0.898407 0.0858631 -0.134422 0.409174	0.743971 0.184993 0.00960351 0.642022	0.651291 -0.18935 -0.197714 0.707726	0.851277 0.190237 0.0306351 0.488056	0.870675 -0.0527953 0.164514 0.460513	0.786983 -0.0583345 0.142692 0.597407	0.73386 -0.0272244 0.0943436 0.672166	0.657748 -0.03716 0.0908901 0.74681	0.722451 0.00808477 0.00587187 0.69135	0.722246 0.0137709 0.0199051 0.691213	0.641705 0.0114943 0.021301 0.76657	0.698716 0.0989905 -0.0450568 0.707083	
0.731432 -0.00729926 -0.0220817 0.681518	0.699398 0.00380716 -0.00891281 0.714667	0.684253 0.00774685 -0.00366395 0.729195	0.686004 -0.00307172 0.00808773 0.727547	0.68866 -0.00705917 0.0138434 0.724917	0.717072 -0.0221248 0.00782671 0.696604	0.788058 -0.0415122 0.0308721 0.613423	0.65405 0.115498 0.335971 0.667834	0.886229 -0.164715 -0.0193822 0.43254	0.897349 0.0854316 -0.137621 0.41052	0.740059 0.186092 0.0112956 0.646185	0.64974 -0.189497 -0.199216 0.708691	0.852533 0.186844 0.0312939 0.487132	0.871425 -0.0483919 0.160659 0.46094	0.782557 -0.0542079 0.13665 0.604974	0.731179 -0.0247951 0.0899563 0.675774	0.658605 -0.0338217 0.0869656 0.746681	0.724365 0.00656483 0.00514719 0.689367	0.720717 0.0180221 0.0138288 0.692857	0.64304 0.0164511 0.015665 0.765495	0.698873 0.10073 -0.0449075 0.706692	
